Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,-4.964770992,-5.650160673,8.800256893,8.898577746,-10.13477712,-1.178632795,6.39617571,0.0578161,-1.563574574,0.093776077,0.146894071,0.965647201,-2.358187129,-6.562312623,-2.963412568,6.750677996,6.170262526,4.113269942,7.195079331,8.578295838,3.243503111,13.36798431,37.94120947,-1.962815834,6.066179041,9.747401639,13.29444201,6.677426733,6.51715978,10.34756932,11.50439091,8.772752882,-3.361677883,7.25088938,-51.15195549,-15.9860564,5.2825036,7.154395719,-3.251743837,-2.986646372,2.093937828,2.967634459,-0.715103345,-11.36519949,8.877301355,9.423011778,
Afghanistan,AFG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.243329331,,
Africa Western and Central,AFW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.299999974,13.08999998,22.93000001,14.29,16.56,10.62,-2.650518888,-2.378932172,-5.124101336,5.199864503,-1.173900758,0.704632315,-14.68932273,-18.39552462,-1.251896835,-10.72481067,-5.927220204,-7.341592039,-8.55846522,3.270149475,
Albania,ALB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.27443811,33.83347852,73.09678688,38.88130026,15.45616887,3.552368796,11.77325118,18.4838616,24.26685666,16.927428,19.11220093,-4.625567002,4.711535921,19.19357968,6.674095139,0.293590353,1.588995503,1.152801296,0.969353009,11.34059714,13.24345745,4.025758031,2.635788605,-27.86144197,52.04984223,7.510370332,
Andorra,AND,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.548408603,15.9598672,10.4523314,7.995792615,7.69815391,6.337210791,7.231491056,-5.439873085,6.239445963,-18.53037918,8.59590996,1.55726976,-0.812076204,2.957207368,2.244292664,2.906667465,9.193822977,-2.270089066,-11.59025461,,,
United Arab Emirates,ARE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.150408737,22.91019613,24.54438458,11.48225537,11.53124467,8.8320654,12.43522458,-4.29925556,6.259810321,16.06622423,17.45398868,6.093496332,1.802095287,5.190751818,3.405078588,-2.520460981,11.50099561,-1.339173031,-7.024967976,,,
Argentina,ARG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-10.63859174,45.23846323,0,-8.196661334,8.928500262,16.39343134,0,-7.042155989,21.21207237,1.200104119,-9.930944204,2.029586084,13.97858999,0.235738442,-9.294158526,31.51765655,27.31777194,8.907269916,-3.200500135,-5.142862405,5.203906511,3.946552406,2.582605848,-2.591497771,15.55402385,-10.27034119,-3.48199917,18.71956561,7.430323722,18.01160325,-3.62414436,-1.029694439,3.983198679,15.29556898,22.52814469,7.646794889,12.17744082,10.62339306,-1.260277939,2.702391309,2.74099076,3.092955186,5.995368202,8.11415799,12.88683042,5.561203235,8.164451917,0.739874469,-9.347106431,13.89691362,4.148814784,-4.108311326,-3.520240343,-6.979167434,-2.77737294,5.317354108,2.615390952,0.645996251,9.751025404,-17.43771088,8.497113924,5.770501979,
