Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,8.785288966,-5.608968721,-2.526453699,2.84882133,-15.51752359,-8.92087835,1.971902393,15.46652131,-0.744499705,-2.153702273,2.378210574,2.270028073,7.636668799,16.27359084,-1.066581476,14.15371592,21.21123164,8.637214137,1.093344059,11.80365505,1.519167059,3.599829016,12.98659151,21.72356521,9.638132122,5.137554642,6.311900177,8.730896782,-6.974465026,5.996804972,-30.18925495,4.060692423,4.715123279,2.729212551,0.522951943,-5.418569141,4.043032251,3.129783953,-0.049195551,-12.1239418,12.84105831,14.2815169,
Afghanistan,AFG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.25614693,,
Africa Western and Central,AFW,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69,7.129999995,11.95,6.349999998,7.600000006,18.17000002,-0.474434607,-11.7382381,10.95004181,-0.089458105,4.378649614,-5.158482282,-23.91032123,-24.73890109,1.707906075,-19.70668027,-8.06709111,-21.6982573,-3.817343631,26.11736787,
Albania,ALB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.690861523,18.97586921,15.42478809,49.54039912,15.22186204,9.8163804,5.127608813,8.216221258,16.19520527,8.706127035,19.38567927,3.622386078,-1.1402458,-0.572949577,6.186271288,-6.694147374,-0.643629372,4.258791677,-2.875206445,6.920121455,8.355813629,2.396963927,2.289641678,-19.78939087,31.4513011,13.13337513,
Andorra,AND,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.139226001,11.90338389,21.66961268,14.4386684,11.80980842,20.40794925,16.38140643,-8.495462594,-0.691663205,-7.635369962,10.32673828,5.05463627,4.58685286,-3.691093878,-5.630797211,7.967368113,6.446085026,0.10643271,-13.94612791,,,
United Arab Emirates,ARE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93833318,15.98871913,29.73793886,14.93464501,18.19529211,34.46050775,21.39811034,-15.65429523,-20.38332005,19.00753522,8.564251627,8.026163213,9.864791776,-5.721824975,2.653022391,2.952892446,10.9360126,-5.495578374,-6.427771991,,,
Argentina,ARG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,18.17689285,0,-23.08339691,20.01239287,0,-8.33114436,0,9.088304094,24.99359768,-18.84380878,11.91372978,-4.869764928,-1.309537307,5.428297731,1.830505857,-21.01109219,37.12672187,-5.186910386,54.59448436,46.35622932,-8.238924251,-42.5799727,-6.923725728,4.705111379,-13.03792965,17.86744214,11.4851677,-9.208045174,-16.51668796,-1.899916983,80.05569905,65.68396139,14.80660913,21.13103335,-9.806630116,17.52909091,26.87155311,8.413928637,-11.26676921,-0.157568635,-13.94658207,-50.05955393,37.56537155,40.12178003,15.84823189,10.99186291,19.6402843,13.56218699,-18.41643939,35.20441734,22.02861658,-4.728263216,3.882880978,-11.47999491,4.711318807,5.824163031,15.58379561,-4.461337004,-18.69722955,-17.21067118,20.43747838,17.87505737,
Armenia,ARM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.2770162,-0.423170857,11.91121502,-5.178774925,-1.700872518,7.02325909,6.868041191,18.24892289,27.40846504,-3.2688269,14.1568258,3.760967257,12.99479055,7.278112445,-19.15362406,12.80000405,-2.299967807,-2.732459204,0,-2.7,-15.3,6.300000003,24.6,13.3,11.6,-31.5,12.9,34.5,
American Samoa,ASM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.664767331,-12.90630975,0.109769484,-3.728070175,-3.758542141,2.130177515,-12.97798378,-11.05193076,-7.035928144,4.025764895,4.179566563,11.88707281,3.585657371,-3.205128205,-11.52317881,-0.598802395,-5.421686747,19.42675159,-5.6,-12.57062147,
Antigua and Barbuda,ATG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,12.51254798,-14.25947308,17.32876293,11.23747913,19.08357565,2.752943957,1.686469912,9.886920467,3.450759785,8.332504393,3.069906954,-7.976243504,1.261738036,30.33779477,2.572127139,-4.903222731,9.519989974,-4.684960978,8.068001729,0.099986668,9.45816963,11.56513628,-8.439516496,5.989438577,16.64013186,-0.23605736,-4.727489296,11.22336921,24.88151659,5.617184839,-5.714614764,3.49831436,6.594911014,7.501107174,16.34275709,4.686490267,9.894551697,10.24561781,5.11331514,12.04788876,-0.974855253,1.348909023,13.19736407,13.49907669,12.4997702,8.460762245,10.36397262,14.48624924,-3.712061816,6.944379944,10.42918144,11.30161227,0.697427925,-2.911903743,1.518772647,-0.325837257,5.247581565,6.953848381,0.226108439,-5.967276633,-3.458003703,6.904760244,
Austria,AUT,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,6.287518782,12.14625399,9.553094901,6.90539529,-4.648740175,17.41751414,8.441411801,-1.008301331,10.24589262,5.707708253,-0.606333826,-3.628941162,4.17690933,6.64331234,5.537944218,-3.541242073,3.833028059,9.442468561,10.15836348,7.980329813,5.114365035,2.116110256,-5.489472036,10.33153007,5.904882625,4.170879275,7.270200711,5.757657249,4.06380707,10.18626733,5.192321794,0.290822726,3.507412996,7.975144598,5.455040639,5.854556834,5.63498584,0.954256343,-11.89921767,11.96951586,5.954271602,0.923627412,0.694051634,2.956619555,3.630202134,3.725740615,5.289217846,5.347690212,2.247735434,-10.0196125,14.32780494,7.878779122,
Azerbaijan,AZE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.88053058,46.44150132,28.03719716,19.95291874,-20.63760597,7.736877585,10.3559834,47.57570065,43.16251499,24.26159192,9.463669166,14.72851838,10.65706154,14.32774361,-5.274775164,1.346499772,35.58775486,2.199999068,9.999999687,4.130862352,,,,,,,,,
Burundi,BDI,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.68715083,-8.862034274,12.62762434,17.1160034,17.13270902,40.58973293,27.13130973,61.71073479,28.75804125,-2.702409842,22.2333801,-18.72024969,12.40999948,10.13328013,12.09169114,12.3305294,-5.308168549,-2.074735187,-11.45807827,12.96503497,18.99997999,17.1,3.38571,3.210468786,7.02029,
Belgium,BEL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,,,,,,,,,,,,3.64456131,9.569077594,18.58650835,4.416433878,-9.082391342,12.38551135,4.770925128,2.668309067,8.955893099,-1.920993454,-1.935203683,1.354745236,-1.232230831,6.392519683,0.407258155,4.588902143,6.752892324,10.42015671,9.69349548,4.868733293,2.859223298,4.11706413,-0.36084522,7.280409183,4.651707992,5.554105542,8.202305689,5.058144576,3.373285238,13.01550527,-0.755473782,1.055975866,1.459475747,6.306671613,6.426575906,5.141851248,5.579332627,3.805004936,-10.85888872,9.687970264,5.625029754,-0.674804751,-0.213858263,5.528272669,3.913671554,7.451584446,5.219110728,1.976900958,1.956724801,-7.360843335,13.03333587,4.89552254,
