Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-1.366959695,0.573772839,5.716137087,-0.226363475,0.255711165,1.337721147,3.776012564,1.181590319,-2.787993001,-3.759776185,-4.022816946,-1.182143511,1.922320295,1.702663506,3.245931827,2.145519915,0.044191567,1.931720721,6.124715945,1.985521392,4.2687397,1.836337316,6.728985235,8.112840168,7.859474738,8.785846512,2.807348321,-2.439106829,6.072989884,2.986785376,-0.493937396,2.884836053,4.225826191,2.979626844,2.026595388,2.517337698,2.696846291,1.799984367,-4.760937227,4.258523148,2.738660785,
Afghanistan,AFG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26969287,17.47607589,12.99172357,13.66754349,7.633126175,5.741817911,6.107141207,6.270601334,9.807670419,6.394070954,5.060990709,2.765780538,4.171121322,-0.765914439,9.206792438,11.07464165,4.848868092,-4.630253171,-12.80874006,,
Africa Western and Central,AFW,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-8.650712631,-13.20003302,3.526140817,4.287791717,-2.862511175,2.709888371,5.280708176,1.308025725,13.7825195,-2.489654746,4.155273378,-5.222795705,-3.633679015,-1.380766996,5.180103309,2.753901598,1.291638553,-3.559540397,5.140856298,4.670926492,2.473107835,9.062778841,2.31209581,2.178293631,-0.98945597,-0.643006708,0.190143493,2.700085346,3.464529132,8.30936029,3.69159809,2.920113631,5.168569731,-0.762744558,-4.856695812,3.512884716,3.227711933,4.000029232,-3.046539049,0.940857639,-0.798037942,
Angola,AGO,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.086642408,14.80095444,20.49593151,13.19335073,19.79890087,9.566770776,-3.899999989,-0.092053306,-2.155535105,10.51398753,2.968212184,-1.567503751,8.284815575,-0.630334158,-3.18733963,-6.212948355,-3.47800034,-10.46155586,-8.338016831,1.767123314,
Albania,ALB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.45245874,17.74607507,19.28651248,25.43213913,20.24359385,6.744508879,12.71417731,7.202178722,6.003946196,9.202913295,4.582744742,6.946147423,1.862020014,3.399838162,2.26437555,-6.140662152,2.717204481,-3.318558471,2.572022617,1.896475524,1.794857125,9.794164296,0.915144132,-4.098933337,13.79900772,7.86445493,
Andorra,AND,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.706829483,5.554345459,11.77701786,10.1273835,7.100605886,5.670587183,-2.803758094,-5.812814317,-9.391396806,-12.86479592,-9.274819217,-11.65897577,-7.499269433,-1.986336532,-0.278001612,5.36543978,2.864373634,8.245731753,7.755355052,-3.895813359,5.749725649,4.937106918,
Arab World,ARB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63175604,-2.333964908,4.347707823,8.546768867,4.512362535,5.762261653,2.3357326,5.330910277,-2.236461744,5.209714978,3.151913971,5.008084998,0.011797558,0.886571806,3.392697362,4.025586317,-0.4098409,1.957346248,-0.033004356,-6.149744375,2.21567202,7.214210771,
United Arab Emirates,ARE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.698172904,7.091538735,9.35979228,3.828416599,13.81931343,-2.682031468,2.573258144,-6.512338396,2.466745787,7.779829787,2.355634306,3.017209641,1.15423825,8.009329373,5.022968351,-2.899940391,3.284014421,-0.841637656,-2.789919205,2.626961158,8.489064596,
Argentina,ARG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,1.109731688,4.231080068,9.474208411,11.5461698,-0.930250743,6.329266011,3.123893824,0.805741916,6.037503261,-1.091007568,0.555648947,8.629089874,-8.334899041,7.541405247,-1.288950461,-10.66333426,-3.209381222,5.377687816,0.67428643,-8.651011892,8.630264182,3.356776926,-3.551976184,-8.588761139,-5.325307986,10.68745987,11.01675292,5.470297026,6.206351238,-3.551436932,6.193445871,8.371139609,1.946101648,-6.622489521,-2.195351962,-5.191488588,-11.35637722,14.16136073,10.81533519,6.534384086,8.664922353,6.033347427,3.072042814,-6.433340906,8.80489749,5.830917839,-2.201126631,0.551194177,-3.462035016,1.389808314,-5.825158741,2.302832903,-3.049315189,-4.740755306,-9.28398484,15.45906969,5.71114136,
