Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,10.28444911,-1.084537175,6.531234353,5.62403518,9.10454938,7.377939995,-2.721068717,-2.622225541,-2.08131333,-1.461682525,2.854512266,6.327262092,6.346479374,-3.055490696,0.171933307,6.313542128,0.936017813,2.335517171,3.034215903,3.644543763,0.451058401,-4.715200436,-8.24806923,-8.252131723,-2.243969286,1.962099191,6.304675884,2.276756045,-0.408431743,-1.059488565,2.64139293,3.854721618,1.392960577,2.600628141,-0.049409258,4.947375451,5.38515806,5.790413134,5.340338646,2.471046304,-5.380189523,6.339593023,4.450546715,2.723892971,2.967993038,0.716233629,3.59694059,3.47685363,1.989445341,2.335646083,1.279757067,-6.712678983,5.687574723,1.82461633,
Afghanistan,AFG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.697849883,4.160772742,3.279537341,3.194608045,4.537191732,2.34623542,5.296290218,3.840391435,3.057431242,6.035906734,2.285861967,-1.836502527,0.409391083,1.087939525,18.12296895,22.92105994,6.44963648,-3.537012389,-10.3054858,,
Africa Western and Central,AFW,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-12.07217254,-26.06235607,-6.237510899,5.29674901,-7.730368054,14.39351847,13.38113729,-13.54546956,6.077807399,7.760508274,10.94723872,-16.44491695,-10.89971408,-11.20964844,3.618772594,1.963591758,-3.227043932,2.402612944,1.379580451,4.040395893,15.01043185,-7.220998596,0.394164623,6.64475426,1.052779551,3.171702865,4.151873317,3.185219769,2.20507538,11.69929437,9.1635362,13.85983444,9.650953695,0.364372498,-0.329570621,1.846263813,3.965998962,2.437968489,-3.413164405,4.344915866,2.541873084,
Angola,AGO,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.351670534,16.57560197,6.125295094,6.548329831,2.016556315,5.914604603,6.8,9.556309419,9.084108654,9.55983199,7.726161369,-9.917385384,12.02507407,11.63748898,1.179750834,0.571847274,-5.058760176,2.734218604,0.818082912,2.467835353,
Albania,ALB,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.30930208,41.3933886,12.95929561,6.938227616,5.757589546,4.178212765,19.30234425,6.021251576,13.88564378,13.02857459,12.65447252,-5.029134655,2.893908549,11.57643343,10.47094856,-15.65725155,9.84520837,9.373444596,4.96158042,4.54104021,12.43335925,6.25848397,5.596976142,-4.110790269,11.13914071,7.087138629,
Andorra,AND,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.569144056,4.143683573,14.30047797,9.31283906,0.248138958,3.558168317,0.487999203,-0.624380575,-4.368205844,0.406716029,-1.059410054,-3.348729792,-0.575648963,-1.813414901,2.247441032,4.689880305,0.550878287,-2.170767004,3.814454776,-9.740458015,,,
Arab World,ARB,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.262392898,4.065486561,5.185104432,5.637588953,4.371566331,4.652868727,6.520806883,-0.66130159,4.629930579,3.619107598,1.692217204,1.618030797,3.542932811,4.897519592,4.804432785,2.099157153,0.512464331,0.701655449,-5.934642583,5.089012467,6.575076562,
United Arab Emirates,ARE,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.896797895,4.287614935,7.916620108,6.572405647,7.26056429,1.872864158,10.26768381,-14.05268022,2.391534809,6.844691263,-5.986468628,5.984640694,2.121500115,17.21485138,11.94151317,3.523502718,0.811777945,3.972996488,2.417107009,11.23049588,8.74836354,
Argentina,ARG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,,,,,,,0.873654251,5.542941848,5.634346816,11.54845627,-2.571708306,6.165981748,3.994579052,3.966241238,5.874109764,-2.552778523,-3.033736915,7.813686718,-10.52262254,9.94467901,2.217321513,-12.07084826,-2.815216946,6.817901268,2.474911288,-9.449930866,10.05127733,1.07902574,-4.894878568,-7.487259948,-5.407057144,10.3761658,10.18871388,3.531083822,4.499636063,-7.164586603,6.451877751,9.151433513,1.848756016,-7.928867319,-3.823218329,-7.36198741,-10.95522078,15.967188,11.97605611,7.423159239,9.099786373,7.533967506,3.62110045,-7.259824385,10.90794207,7.666609032,-2.913326286,1.503531672,-5.054047385,0.765932391,-5.601139739,2.57407049,-4.804922545,-6.15655049,-7.696452682,15.71426595,4.570723785,
