Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.19224584,1.499186632,2.034999001,3.838674434,-0.151008403,1.667482803,6.438198587,3.3861501,2.506542391,2.427586665,1.679524525,0.181120019,0.816300154,3.02929477,5.062955094,1.832732465,2.950644318,3.37332381,3.859868642,2.853576702,4.215881171,3.717423108,5.447203409,5.825122514,6.247414757,6.821375816,7.948632591,5.264235342,2.830530336,4.064344573,4.169344662,1.229374078,4.808205276,4.056152036,2.794809986,2.80998346,2.166772401,2.513339441,2.398865371,-2.928856499,4.265917363,4.216546167,
Afghanistan,AFG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55182287,12.7878433,5.388267444,6.731003543,19.68114686,14.85444913,17.98338209,18.35540541,9.790685876,13.65733974,7.826551959,4.530153939,2.135107786,1.979482699,-0.682546316,1.938171299,-1.38573516,-5.916751603,-30.05044514,,
Africa Western and Central,AFW,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,3.730828781,0.525892779,-2.1412068,3.152400022,3.795342079,1.396682415,3.238778765,1.890930883,3.915763442,1.846243899,1.728157599,0.472556489,1.89495577,2.551345659,2.597979911,4.139068428,4.333556815,3.6289354,3.922727967,6.472045098,8.942139986,3.280356462,15.78750883,9.041929481,10.79146799,11.29984829,11.1555987,9.706392378,10.86971598,4.631656197,5.661411216,7.941949167,6.556679206,3.18552095,0.739785983,0.478511888,2.403499553,3.010348239,-1.844928429,5.858502174,6.256900734,
Angola,AGO,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.171442644,7.482411117,8.611948316,8.617833319,5.602910053,12.91811405,8.970000008,6.4682804,9.290211669,6.356497084,7.194172783,10.06495074,-4.14943676,-4.930832333,1.529387488,1.397954725,2.039793682,-3.925519725,5.895208709,4.207738748,
Albania,ALB,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.12094913,6.250936149,18.37151749,-1.372302672,7.62004268,4.197748299,1.203728301,4.87942265,6.951674157,5.128637066,7.874548498,5.333054911,5.417210945,2.493634265,3.034478462,3.209817773,0.314773497,5.023430045,2.793345063,4.28749392,6.024037569,2.855262677,3.699049131,-4.052959867,8.413321603,6.146489256,
Andorra,AND,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.190157656,3.923469797,8.96978773,7.930413917,4.870851692,4.391670521,2.149381309,-4.540402306,-4.458643947,-0.743107676,0.490629133,-5.649703484,-2.04671436,2.79725917,1.984002509,2.961937716,0.048791903,1.309772034,1.883752573,-8.59472177,7.700260033,7.106126647,
Arab World,ARB,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.466901469,7.874550588,5.427797892,2.584288853,12.0372646,6.582273127,6.110549368,9.106755214,6.638552565,3.376109995,6.055296534,4.311652124,4.289293681,5.520204287,4.267209082,2.821513491,2.725958905,2.797673569,1.747717741,2.136260309,-4.396949793,5.227855821,4.970494278,
United Arab Emirates,ARE,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.58549448,10.73038635,9.906861259,7.726582135,4.989945695,13.07273541,4.050683527,-2.727604004,1.528657742,4.531191632,1.198640831,7.45672098,7.499289324,5.625238576,6.144236502,4.446108478,-0.625113473,2.936801819,-7.069148602,5.750580778,7.327000024,
Argentina,ARG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,-1.528094858,2.541093641,1.84047798,8.827984917,10.58888755,4.949535949,0.65233302,3.811232522,5.260517532,0.977642723,-3.401488788,6.046758018,-1.788927364,11.04033574,8.428728219,-2.313216866,-0.650503348,3.857191671,2.013124405,-3.83980997,5.136308399,3.022417817,-0.375607403,-5.537751661,-1.710036309,9.388580275,6.941984111,7.289319434,6.389031541,-2.344851734,5.677332311,7.875056707,4.701107651,-1.942936594,0.343091493,-4.34830177,-9.715289924,4.245832101,6.87726661,9.100513306,8.505427581,9.088671963,5.129031423,-2.054639568,7.089823509,6.444826911,0.668753019,1.909762038,-1.644377543,2.660138013,-0.008736041,2.573445885,-0.787070431,-3.052335631,-10.56113393,9.443830121,5.969380578,
Armenia,ARM,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769695825,57.73399438,-22.68866053,7.145310964,15.67376112,5.479763569,4.849786842,4.505515741,4.341650959,-6.134590714,9.946401701,16.3886017,12.57606506,12.88975045,16.49538497,22.16385889,10.75029722,5.335011144,-6.836173044,8.522912733,-1.739661797,5.357977219,2.768110754,6.676352588,0.964943325,3.422668093,10.36918887,9.158592019,9.763562916,-8.662849817,7.557258269,17.76188046,
American Samoa,ASM,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,2.536108552,9.361528158,6.5108677,2.87274428,3.258551762,7.588795842,10.94848998,6.330237249,6.165604982,3.986577396,4.718398406,4.89946804,4.572393012,2.369030086,1.474843801,7.991315197,6.859067653,-5.920345968,5.424303027,6.271367597,4.953475825,3.711272164,9.736143237,-3.19071225,-0.693504444,5.375651801,4.222925554,5.203145548,7.13557799,7.293370132,1.516739599,-11.22516143,-4.747574603,0.091574626,1.195173409,0.260791005,1.699670208,1.165472736,2.73952202,0.697162342,4.409012702,3.62767948,-22.35199458,8.323270235,12.5805018,
Australia,AUS,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722851819,2.601992537,3.093587309,5.250949406,6.144957091,3.595168337,4.872240133,4.251053935,5.388409531,4.112527862,3.604123305,3.892661052,3.30935918,4.08450719,3.657934205,3.045645784,4.32894987,3.418646845,2.11977316,2.196320671,2.843583464,3.36243857,2.497334361,2.285284145,2.671954136,3.501113091,3.211370025,2.949745925,3.305229579,0.35552069,2.37812557,5.118594974,
Austria,AUT,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,4.194136842,0.491508091,6.720198823,1.754951239,0.840236404,4.047611622,3.071931589,1.549287426,1.871289175,2.762149423,1.61692044,2.906524523,4.50391892,4.032239055,3.158018716,2.936293848,0.921700076,1.369703486,3.274593619,2.041731938,2.347976053,4.362048619,3.303250288,3.905914134,1.274503512,2.692050932,0.608145528,2.710010936,2.563785167,3.915967699,3.206863386,2.381093313,-1.050184829,1.476286522,2.786637167,0.301775143,0.01727826,0.914924621,1.169078264,1.513862705,1.829598454,2.363058466,1.868932195,-6.912383802,1.41806897,6.097466646,
Azerbaijan,AZE,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.36500319,-4.687976032,-11.93249149,-5.880048054,2.663787029,2.188208816,14.87636246,6.309435781,11.97607059,6.011132347,7.522211431,8.229896382,6.589527464,17.79204276,12.95643719,13.93344048,8.728220809,9.217707399,7.021051975,9.025796413,9.176559901,9.124939958,5.52027911,1.124243682,4.47841318,5.188756459,6.134140146,-3.908705183,9.987713279,12.83160916,
Burundi,BDI,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.590000008,4.590000035,-6.230151811,-6.230151792,-6.230151837,-6.23015177,-6.230151812,-2.176920204,7.477249501,16.77503339,6.603632754,5.364914189,5.775938996,6.978736458,6.962924096,2.828235294,8.780819961,0.385989291,0.72546343,0.553117847,0.742683134,0.927171291,-1.698570861,2.936914105,3.11451993,
Belgium,BEL,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.480233647,2.95788349,1.94434254,3.875723115,2.790049238,1.958271862,2.047893324,1.400160477,2.622162886,2.520467603,2.926271543,3.435823466,1.649528204,-1.105246679,2.269533701,2.175089122,1.55261571,0.71902059,1.280525805,1.897315909,1.531597364,1.666024229,2.282733316,1.975296482,-5.043688073,7.309159574,4.064086299,
