"Year","Population_mean","Population_sd","GNIpc_mean","GNIpc_sd","GDP_mean","GDP_sd","Exports_mean","Exports_sd","Industry_mean","Industry_sd","Agriculture_mean","Agriculture_sd","Manufacturing_mean","Manufacturing_sd","Imports_mean","Imports_sd","Area_mean","Area_sd","Population_D_mean","Population_D_sd","Services_mean","Services_sd","Stable_lights_mean","Stable_lights_sd","Nightltspc_mean","Nightltspc_sd","log_nl_mean","log_nl_sd","idx_mean","idx_sd"
1993,31362346.3333333,46052893.0231774,1461.81818181818,1266.86083041365,61317139794.6818,131200717296.804,13.8042728388889,11.1378844326388,NA,NA,1.5988354292,22.3833924303729,4.60079270355556,9.39056225178812,12.4146587023333,14.5056172323461,1110890.83333333,2307152.76438478,NA,NA,5.72579627244444,6.45391343727579,0.5347117714772,0.6580013116523,3.64707547947243e-08,4.11829896294461e-08,-17.7357880401406,1.26272388758211,1.31410769428125,0.237590660345337
1994,31936900.25,46798929.6049828,1506.36363636364,1331.04675144995,73649193009.6636,163141209402.361,11.4587766794444,7.73585687705636,NA,NA,1.5797974455,13.3049018644304,6.08006473566667,3.48122616261739,12.0637112536667,12.3163913027133,1110890.83333333,2307152.76438478,NA,NA,4.2809470386,6.05618584752707,0.438017234157678,0.593998893595979,2.83447715981535e-08,3.30277193940698e-08,-18.0543431464606,1.34950366730755,1.00756537410319,0.29420300445305
1995,32501241.4166667,47533324.4470485,1699.09090909091,1541.58006308757,98021180160.8182,228756518510.789,13.8661238834444,10.7633604421783,NA,NA,6.7971327061,13.6891121701604,7.49451938211111,6.33444035059576,16.252933324,8.15577375753506,1110890.83333333,2307152.76438478,NA,NA,6.4928178288,3.41374017042348,0.639898615151237,0.81700113849014,4.03281036939892e-08,4.5094140217273e-08,-17.6232767252441,1.25127005631885,1.52014165044683,0.268838092486542
1996,33046637.8333333,48247413.8410415,1837.27272727273,1712.93368761952,108445655810.709,252653351914.741,11.0618268877778,16.8652070076938,NA,NA,6.3809461848,8.32708331302211,6.03412520266667,10.9735517375541,6.19262642955556,11.3788412882297,1110890.83333333,2307152.76438478,NA,NA,4.7271807391,4.09127863311944,0.693350197998889,0.907442778217558,4.2974019216813e-08,4.84535889813135e-08,-17.5954579220847,1.29747656021808,1.60870643146864,0.340685652610728
1997,33601354.5,48944634.0229987,1903.63636363636,1815.06623971288,108798616240.973,261409212324.01,5.23311357,9.04227286928526,NA,NA,-0.3572542685,4.1571627456681,9.74908855011111,7.3790656306557,9.53923991866667,11.7707847296833,1110890.83333333,2307152.76438478,NA,NA,5.4727829757,3.56342288140697,0.711344618094511,0.935562240562,3.84059525893943e-08,4.03795261581955e-08,-17.6476097822214,1.2483955727957,1.57560170845861,0.432608471696353
1998,34175091,49627327.8453692,1725.45454545455,1614.40616721049,101559434114.191,255290811496.56,6.27299122888889,12.7599802942889,NA,NA,2.27430854,6.86362148888162,0.954813340666667,8.21410171867234,10.9015429015556,20.8002943324657,1110890.83333333,2307152.76438478,NA,NA,1.741079202,4.86405709385425,0.791924400242007,1.05894329166616,4.22561723698407e-08,4.45533464680865e-08,-17.5336895859925,1.21743241611168,1.81825395731515,0.525482963148201
1999,34730391,50294819.510149,1610.90909090909,1426.99302412769,79609547782.3727,177011464509.138,8.75894059044444,12.6572935620807,NA,NA,6.1956951342,3.40573702440298,3.76154186044444,5.40341368722607,1.06439159644444,11.3231190078257,1110890.83333333,2307152.76438478,NA,NA,3.3873872182,3.24050263014033,0.785257464180923,0.981777712216925,4.35047936399012e-08,4.760055566907e-08,-17.51751780646,1.22489949272435,1.89002095573291,0.553163351619483
2000,35273153.6666667,50936107.9626537,1590,1389.67622128322,78964040692.4083,186074906724.394,15.1718227197778,10.6553943026494,NA,NA,1.931498765,6.33905127611614,7.38467593,7.0827024167895,9.11886230188889,11.2100433360327,1109688.33333333,2307603.05002175,65.1514311832335,69.8054123557585,2.7584930268,3.52304616377298,0.819499759630679,1.0270318752666,4.55330432473897e-08,5.06389191386409e-08,-17.4837317056635,1.23794455764926,1.9890063935306,0.558348924570739
2001,35806372.3333333,51558401.8419346,1536.36363636364,1315.70720699761,70504238002.0167,159090995627.232,12.9676665803333,25.3301654904632,NA,NA,3.11793327845455,6.51868205216652,5.75580512288889,9.1494204076827,5.07218552166667,9.1969568838625,1109690.83333333,2307602.10616782,NA,NA,2.85631597790909,2.60009800132406,0.824604917382466,1.05758261844164,4.40726335026458e-08,4.83911675214863e-08,-17.5245153973241,1.26288399781476,1.97362383956408,0.674956416330467
2002,36335228.6666667,52162469.5329521,1392.5,1275.63976818764,68649203276.6333,145584400345.136,11.7337370822222,11.0871240183511,NA,NA,-0.408950744454545,13.6992579751221,7.75738370255556,9.17856484105841,7.21910949033333,9.4965905582523,1109645.83333333,2307619.10045223,NA,NA,6.66672150072727,8.47905999230805,0.865522199399274,1.09860669890613,4.64867662018022e-08,5.25087760478097e-08,-17.5024085398233,1.29182512784929,2.05813027207439,0.744155156808232
2003,36854228,52741623.7269683,1501.66666666667,1380.88136106377,75851249327.9167,159528331024.128,8.74028827677778,9.83429112539795,NA,NA,3.51023980909091,12.3640747570982,7.05506703733333,7.43303215461882,7.41657538822222,10.1454840361002,1109605.83333333,2307634.21521798,NA,NA,1.17250468845455,11.6028655229696,0.900925770274518,1.13507406776284,4.74885981434806e-08,5.47903664008968e-08,-17.5058506860163,1.32442373033096,2.10705981860741,0.874779924553352
2004,37373245.75,53304373.4742394,1743.33333333333,1586.08914878035,89144096475.1667,190857726251.723,12.2066875328889,7.2386376778817,NA,NA,0.976997413727273,5.93073695527857,6.44289679844444,3.99972228406406,10.6642762891111,10.5540099106286,1109605.83333333,2307634.21521798,NA,NA,9.307040098,12.7082144535635,0.958001033443809,1.25034233228715,4.84644636576344e-08,5.51384820202204e-08,-17.441317235275,1.26450832629702,2.33981545010105,1.10329602100189
2005,37904435.9166667,53854705.0973986,2038.33333333333,1868.41611743176,112160613816.25,253079944221.078,8.53157466655555,7.75433779967951,NA,NA,2.32652237254545,5.88654331917161,3.80028499055556,7.06875365720688,10.3589106625556,11.3971243369106,1109836.41666667,2307547.19779673,70.4977531630982,73.4792843980201,5.817305122,3.42563637029751,0.93273458698294,1.21106881847995,4.63720351998929e-08,5.0577362607088e-08,-17.4655739292187,1.26727793213863,2.36792530780912,1.23305204466921
2006,38439205.5833333,54386498.6673356,2308.33333333333,2123.81232407169,136338893120.583,314057027055.255,8.32221919588889,8.95581259525466,NA,NA,2.93504922536364,5.98296644054356,8.49769518344444,5.62360263984783,9.26092350744444,5.88524065779358,1109832.91666667,2307548.51658289,NA,NA,6.90832729254545,3.03851951874233,0.925691209695062,1.18129921872191,4.53037406708869e-08,4.98540201495062e-08,-17.4780027265772,1.24956709257409,2.40527151862987,1.33760953524103
2007,38973932.1666667,54902796.8306674,2610,2411.25014727367,168311538053.083,396125236517.356,9.531959388,4.75998410099464,NA,NA,3.73990015641667,5.27368467189258,8.3606430844,7.25183565102633,18.0029105924,10.7116439072911,1109813.16666667,2307555.95948464,NA,NA,8.20512782433333,3.88839412820881,0.965066875058268,1.25110301272935,4.78597677925473e-08,5.57255559145692e-08,-17.4663918659427,1.29812064073344,2.53836575374106,1.56390887525683
2008,39504487.75,55405411.7136947,2907.5,2696.86391944421,201755130474.833,480304971221.767,4.1071158391,8.41554629066571,NA,NA,2.82676788833333,10.7511405944875,3.4264481314,4.64842781398845,14.8601785753,11.2178784931002,1109832.66666667,2307548.61078431,NA,NA,5.33054785083333,3.24634931494821,0.964459031787799,1.21421223511694,4.97175250459337e-08,6.25307940024324e-08,-17.4621298387631,1.30476371226244,2.5514949184023,1.43620699329545
2009,40026785.4166667,55900595.4648052,2965.83333333333,2765.78595876416,196779031258.083,471732449379.721,-7.358427146,11.1260529738692,NA,NA,9.80577675025,26.2585153311479,-0.6474283606,5.31768314708385,-6.3731984273,9.80785511567547,1109830.16666667,2307549.55281618,NA,NA,11.7664250740833,27.0877750372633,0.914008878225631,1.1173347442758,5.19552693193906e-08,7.23327717498314e-08,-17.4644416149944,1.31096338265276,2.65733923552424,1.68559724120857
2010,40551108.3333333,56397489.1279445,3281.66666666667,3107.08525597203,256204502942.583,625022885858.803,10.7128227178,7.12778295480706,NA,NA,4.12111398883333,5.41132694284521,3.9212464715,9.47804266611819,13.7309639348,12.3406098685059,1109874.5,2307532.85221631,76.4145783782005,77.2457547447622,5.51997484958333,4.70575266977831,1.31489007362488,1.71525823100153,6.14197665444031e-08,7.51613071147423e-08,-17.2281684794452,1.28657778967377,3.36442298180408,1.97227251576463
2011,41090076.1666667,56892911.6992556,3712.5,3535.28480272292,299978544042.083,740047587856.518,10.4836977984,16.0129388971059,NA,NA,2.95113903641667,3.43783462226381,5.6957430959,6.73909263524729,12.8735722007,12.1613253200316,1109873.66666667,2307533.16604422,NA,NA,6.80579038991667,2.59970127725288,1.24820507319705,1.63472533370634,5.78816707379725e-08,7.07699618062883e-08,-17.2833922452814,1.28629962147042,3.31194654547247,2.18806871065444
2012,41635122.3333333,57380903.7671426,4110,3930.15151223091,293485052532.667,696967674618.868,7.6982916184,8.02040130956685,NA,NA,1.83900731316667,4.63449526571919,2.0953299945,4.95803160451259,9.1143595659,8.30382767934815,1109888.08333333,2307527.73732457,NA,NA,6.38303766825,2.66786739838833,1.24417327529402,1.58683511214734,5.6725086119525e-08,6.66876990666956e-08,-17.2812345576331,1.27109512804603,3.43291837797667,2.44413233398238
2013,42181109.9166667,57861702.9408072,4310.83333333333,4075.10726759729,300763562863.667,698283177699.727,5.3742823216,13.8625535183322,NA,NA,2.41495235116667,7.46395204781514,3.031533578,3.42632253317955,6.5032842285,7.63879448660125,1109850.61083333,2307541.85013617,NA,NA,6.98633234891667,3.05300323296205,1.34214333820483,1.76890815165508,5.7867080670611e-08,6.6880628472247e-08,-17.2638440626876,1.27858943354807,3.59117751400195,2.57906702752061
