"Year","Population_mean","Population_sd","GNIpc_mean","GNIpc_sd","GDP_mean","GDP_sd","Exports_mean","Exports_sd","Industry_mean","Industry_sd","Agriculture_mean","Agriculture_sd","Manufacturing_mean","Manufacturing_sd","Imports_mean","Imports_sd","Area_mean","Area_sd","Population_D_mean","Population_D_sd","Services_mean","Services_sd","Stable_lights_mean","Stable_lights_sd","Nightltspc_mean","Nightltspc_sd","log_nl_mean","log_nl_sd","idx_mean","idx_sd"
1993,2132771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96320,NA,NA,NA,NA,NA,0.008232308,NA,3.85991182363226e-09,NA,-19.3726214973492,NA,0.711153724975896,NA
1994,2125198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96320,NA,NA,NA,NA,NA,0.00441471,NA,2.07731703116604e-09,NA,-19.9921886647184,NA,0.38136783283477,NA
1995,2142422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96320,NA,NA,NA,NA,NA,0.0121601400896907,NA,5.6758846248268e-09,NA,-18.9870394047004,NA,1.05046226659793,NA
1996,2203966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96320,NA,NA,NA,NA,NA,0.0102894408628345,NA,4.66860235722078e-09,NA,-19.1824060911682,NA,0.888860596265824,NA
1997,2383300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96320,NA,NA,NA,NA,NA,0.0138527052477002,NA,5.81240517253397e-09,NA,-18.9632713805688,NA,1.19667569992463,NA
1998,2639224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96320,NA,NA,NA,NA,NA,0.0252708941698074,NA,9.57512290347747e-09,NA,-18.4640974660898,NA,2.18304399232028,NA
1999,2789743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96320,NA,NA,NA,NA,NA,0.026213534,NA,9.39639744592961e-09,NA,-18.4829394715627,NA,2.26447459799637,NA
2000,2895224,NA,NA,NA,8.74e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96320,NA,30.1505489349365,NA,NA,NA,0.0279654189944267,NA,9.6591555590955e-09,NA,-18.4553596087857,NA,2.41581241717368,NA
2001,2981648,NA,NA,NA,9.06e+08,NA,NA,NA,NA,NA,5.543265539,NA,NA,NA,NA,NA,96320,NA,NA,NA,-1.429422882,NA,0.0292592663317919,NA,9.81311889659406e-09,NA,-18.4395456835625,NA,2.52758233072859,NA
2002,3060599,NA,250,NA,9.27e+08,NA,NA,NA,NA,NA,-1.988985528,NA,NA,NA,NA,NA,96320,NA,NA,NA,31.07122752,NA,0.0231700427830219,NA,7.5704274826666e-09,NA,-18.6990163004618,NA,2.00156046554586,NA
